SAR_1_PREDICTION,SAR_0_PREDICTION,SAR_PREDICTION,THRESHOLD,POSITIVE_CLASS,EXPLANATION_1_FEATURE_NAME,EXPLANATION_1_STRENGTH,EXPLANATION_1_ACTUAL_VALUE,EXPLANATION_1_QUALITATIVE_STRENGTH,EXPLANATION_2_FEATURE_NAME,EXPLANATION_2_STRENGTH,EXPLANATION_2_ACTUAL_VALUE,EXPLANATION_2_QUALITATIVE_STRENGTH,EXPLANATION_3_FEATURE_NAME,EXPLANATION_3_STRENGTH,EXPLANATION_3_ACTUAL_VALUE,EXPLANATION_3_QUALITATIVE_STRENGTH,EXPLANATION_4_FEATURE_NAME,EXPLANATION_4_STRENGTH,EXPLANATION_4_ACTUAL_VALUE,EXPLANATION_4_QUALITATIVE_STRENGTH,EXPLANATION_5_FEATURE_NAME,EXPLANATION_5_STRENGTH,EXPLANATION_5_ACTUAL_VALUE,EXPLANATION_5_QUALITATIVE_STRENGTH,EXPLANATION_6_FEATURE_NAME,EXPLANATION_6_STRENGTH,EXPLANATION_6_ACTUAL_VALUE,EXPLANATION_6_QUALITATIVE_STRENGTH,EXPLANATION_7_FEATURE_NAME,EXPLANATION_7_STRENGTH,EXPLANATION_7_ACTUAL_VALUE,EXPLANATION_7_QUALITATIVE_STRENGTH,EXPLANATION_8_FEATURE_NAME,EXPLANATION_8_STRENGTH,EXPLANATION_8_ACTUAL_VALUE,EXPLANATION_8_QUALITATIVE_STRENGTH,EXPLANATION_9_FEATURE_NAME,EXPLANATION_9_STRENGTH,EXPLANATION_9_ACTUAL_VALUE,EXPLANATION_9_QUALITATIVE_STRENGTH,EXPLANATION_10_FEATURE_NAME,EXPLANATION_10_STRENGTH,EXPLANATION_10_ACTUAL_VALUE,EXPLANATION_10_QUALITATIVE_STRENGTH,DEPLOYMENT_APPROVAL_STATUS,ALERT,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP,association_id
0.0003,0.9997,0,0.1,1,creditScore,5.70408152,616,+++,totalPaymentAmt90d,-1.382769543,60,--,overpaymentAmt90d,-1.004565311,0,--,totalSpend90d,-0.911560634,174.06,--,totalMerchCred90d,-0.833647803,94,--,tenureMonths,0.809725143,29,++,nbrCustReqRefunds90d,-0.703810359,1,--,maxRevolveLine,0.324452107,18000,+,avgTxnSize90d,-0.207884727,87.03,-,income,-0.004431845,31400,<-,APPROVED,1,4,31400,29,616,CT,2,87.03,174.06, ,0,1,1,94,1,3,60,0,0,1,1,40.04,0,18000,0,1,1,8,1,0,0
0.0028,0.9972,0,0.1,1,overpaymentAmt90d,2.231466868,5.6,+++,totalPaymentAmt90d,-0.796073239,60,--,totalMerchCred90d,-0.539151628,0,--,nbrCustReqRefunds90d,-0.450513906,1,--,totalSpend90d,-0.302485194,54.4,--,creditScore,-0.023163514,704,-,maxRevolveLine,-0.011708054,7000,-,avgTxnSize90d,-0.009218968,6.8,-,income,-0.001065579,29600,<-,state,0,ME,<+,APPROVED,1,1,29600,72,704,ME,8,6.8,54.4,plastic replace   change request,3,0,0,0,0,4,60,5.6,1,1,1,83.54,0,7000,0,3,1,8,1,0,1
0.000863396,0.999136604,0,0.1,1,income,2.934293934,79400,+++,totalMerchCred90d,-1.44831989,0,--,totalPaymentAmt90d,-1.425830141,60,--,creditScore,1.359660513,657,++,nbrCustReqRefunds90d,-0.594931579,1,--,totalSpend90d,-0.501471471,0,--,overpaymentAmt90d,-0.312851303,60,-,avgTxnSize90d,-0.265623239,0,-,maxRevolveLine,0.210317454,11000,+,state,-0.045426721,NY,-,APPROVED,1,2,79400,23,657,NY,16,0,0, ,8,3,0,0,3,4,60,60,1,1,1,60,0,11000,1,1,0,9,0,0,2
0,1,0,0.1,1,totalSpend90d,-3.388571665,761.53,---,totalPaymentAmt90d,-3.078333653,761.53,---,overpaymentAmt90d,-2.617037752,0,--,totalMerchCred90d,-2.447237864,0,--,nbrCustReqRefunds90d,-1.288852842,1,--,creditScore,-1.045724474,727,--,avgTxnSize90d,-0.62973882,761.53,-,maxRevolveLine,0,14000,<+,tenureMonths,0,96,<+,income,0,55000,<+,APPROVED,1,2,55000,96,727,MA,1,761.53,761.53, ,0,0,0,0,0,5,761.53,0,0,1,1,87.03,0,14000,0,4,0,5,1,0,3
0,1,0,0.1,1,totalSpend90d,-3.557180657,1076.22,---,totalPaymentAmt90d,-3.048890273,1076.22,---,overpaymentAmt90d,-2.772758659,0,---,totalMerchCred90d,-1.32706369,58.19,--,nbrCustReqRefunds90d,-1.261365234,1,--,avgTxnSize90d,-1.132056512,59.79,--,maxRevolveLine,0,10000,<+,creditScore,0,766,<+,tenureMonths,0,64,<+,income,0,236200,<+,APPROVED,1,1,236200,64,766,NY,18,59.79,1076.22, ,7,1,0,58.19,0,4,1076.22,0,0,1,1,33.66,0,10000,1,2,0,4,2,0,4
0,1,0,0.1,1,totalPaymentAmt90d,-3.018849137,485.7,---,overpaymentAmt90d,-2.910371355,0,---,totalSpend90d,-2.381786782,485.7,--,totalMerchCred90d,-1.320758269,0,--,nbrCustReqRefunds90d,-1.268999857,1,--,avgTxnSize90d,-1.115059198,80.95,--,maxRevolveLine,0,11000,<+,creditScore,0,762,<+,csrNotes,0,billing address password change statement statement,<+,tenureMonths,0,20,<+,APPROVED,1,2,52300,20,762,CT,6,80.95,485.7,billing address password change statement statement,4,0,0,0,0,3,485.7,0,0,1,1,31,0,11000,1,3,0,10,0,0,5
0.001137738,0.998862262,0,0.1,1,totalSpend90d,-2.346684426,3342.6,---,totalMerchCred90d,-1.303190671,293.33,--,creditScore,0.968280606,629,++,totalPaymentAmt90d,0.883888622,3342.6,++,overpaymentAmt90d,-0.756456752,0,--,nbrCustReqRefunds90d,-0.460322641,1,--,csrNotes,-0.390433576,change request billing address plastic replace,--,avgTxnSize90d,0.192209709,24.76,+,maxRevolveLine,-0.106847852,12000,-,tenureMonths,-0.105992132,4,-,APPROVED,1,2,36400,4,629,VT,135,24.76,3342.6,change request billing address plastic replace,68,12,1,293.33,7,4,3342.6,0,0,1,1,47.67,4,12000,1,1,0,9,0,0,6
0.306098233,0.693901767,1,0.1,1,nbrCustReqRefunds90d,11.68408975,2,+++,overpaymentAmt90d,0.690950353,58.68,++,totalSpend90d,0.372685174,1.32,+,avgTxnSize90d,-0.10662275,0.22,-,totalMerchCred90d,0.09003061,0,+,totalPaymentAmt90d,0.067449111,60,+,csrNotes,0.058189649,customer call late payment late payment,+,maxRevolveLine,0.033618511,14000,+,creditScore,0.026412191,723,+,income,0.023750174,14600,+,APPROVED,1,0,14600,10,723,MA,6,0.22,1.32,customer call late payment late payment,3,0,0,0,0,3,60,58.68,1,2,1,83.72,0,14000,1,3,0,7,0,0,7
0,1,0,0.1,1,totalPaymentAmt90d,-5.42421347,60,---,totalSpend90d,-2.990073974,263.89,---,overpaymentAmt90d,-2.524544451,0,--,totalMerchCred90d,-1.33595584,73.48,--,nbrCustReqRefunds90d,-1.181510764,1,--,income,-0.070921146,59600,-,maxRevolveLine,0,9000,<+,creditScore,0,654,<+,avgTxnSize90d,0,23.99,<+,tenureMonths,0,7,<+,APPROVED,1,2,59600,7,654,RI,11,23.99,263.89,transfer change request  ,6,3,1,73.48,0,7,60,0,0,1,1,79.55,3,9000,1,1,0,5,1,0,8
0,1,0,0.1,1,overpaymentAmt90d,-2.815210938,0,---,totalSpend90d,-2.292419194,3718.86,--,totalPaymentAmt90d,-2.147663168,185.94,--,totalMerchCred90d,-1.908280072,0,--,nbrCustReqRefunds90d,-1.290111523,1,--,creditScore,-1.045724474,745,--,tenureMonths,-0.460526919,53,-,avgTxnSize90d,-0.430513867,619.81,-,maxRevolveLine,0,5000,<+,income,0,5500,<+,APPROVED,1,2,5500,53,745,RI,6,619.81,3718.86,late payment statement password change statement,2,0,0,0,0,2,185.94,0,0,1,1,70.42,0,5000,1,4,1,8,2,0,9
